vote,condition,token,date_time
Adaptive overfitting in explanatory modeling,SI,bc43ac11a65a09440f18ba09b8edeb4e,2024-03-08T04:00:45Z
Project presentations,SI,9c91d64e01c6e7559654c6fa6350dd72,2024-03-08T03:35:27Z
Interpretability in social science,SI,554e2e810cd2631fb080050c71385c24,2024-03-08T03:35:21Z
Mechanism and Causal inference,SI,8b2c6c26bcb243852cba38e52bac4cca,2024-03-08T03:35:13Z
Mechanism and Causal inference,SI,bba4c29f11bc1b83cad7d8501290b842,2024-03-08T03:35:06Z
Mechanism and Causal inference,random,3a42d3019d2386447e655b4d590654e3,2024-03-08T03:34:40Z
Mechanism and Causal inference,random,0f2488d8390a7480f2b0a2dc36f33bff,2024-03-08T03:34:33Z
Mechanism and Causal inference,SI,afee43e92f8323169731934316ab3e4a,2024-03-08T03:34:24Z
Mechanism and Causal inference,random,f64f0210cd927b21c359df61b89a9fa0,2024-03-08T03:34:16Z
Mechanism and Causal inference,random,32cad29b99f9e50b80c1a2a7b6117138,2024-03-08T03:33:59Z
Mechanism and Causal inference,SI,e2394c9e6b9c63b19c141f7e0bfffbc3,2024-03-08T03:33:35Z
Mechanism and Causal inference,random,72dfeb228f3119f0f4a3552d646c9154,2024-03-08T03:33:27Z
Course introduction,random,d529f73adb5b96d3bd07eefc75aef03a,2024-03-08T03:14:06Z
Course introduction,SI,30d96835fa45745288cd33d03c0bab4f,2024-03-07T20:48:04Z
